City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Bengkulu,ID,-3.8004,102.2655,78.46,83,95,8.01,overcast clouds
106,Saint-Louis,SN,16.3333,-15.0,74.53,22,77,9.57,broken clouds
107,Vaini,TO,-21.2,-175.2,87.96,55,40,9.22,scattered clouds
108,Miguel Calmon,BR,-11.4289,-40.595,68.41,92,70,1.21,broken clouds
109,Qaanaaq,GL,77.484,-69.3632,24.94,59,100,13.53,overcast clouds
110,Elizabeth City,US,36.2946,-76.2511,46.02,92,1,0.0,clear sky
111,Soddy-Daisy,US,35.2359,-85.1908,39.24,64,0,3.36,clear sky
112,Beidao,CN,34.5686,105.8933,40.44,56,100,1.41,overcast clouds
113,Pedra Azul,BR,-16.0053,-41.2972,66.6,98,100,2.86,light rain
114,Severnyy,RU,50.677,36.5532,1.44,85,75,6.71,broken clouds
115,Castro,BR,-24.7911,-50.0119,61.66,94,100,2.95,overcast clouds
116,Cherskiy,RU,68.75,161.3,-24.93,99,100,2.8,overcast clouds
117,Butaritari,KI,3.0707,172.7902,81.14,76,98,5.64,overcast clouds
118,Chuy,UY,-33.6971,-53.4616,63.77,80,0,7.18,clear sky
119,Kavieng,PG,-2.5744,150.7967,84.29,76,100,6.82,light rain
120,Pemangkat,ID,1.1667,108.9667,82.38,75,16,5.66,few clouds
121,General Pico,AR,-35.6566,-63.7568,72.19,41,0,4.85,clear sky
122,Lagoa,PT,39.05,-27.9833,58.53,82,60,44.67,broken clouds
123,Lusambo,CD,-4.9667,23.45,69.76,100,100,1.23,moderate rain
124,Obando,PH,14.7167,120.9333,85.19,74,88,11.01,overcast clouds
125,Kendari,ID,-3.945,122.4989,86.11,66,100,2.62,moderate rain
126,Melito Di Porto Salvo,IT,37.9222,15.7714,53.15,81,75,4.61,broken clouds
127,Grindavik,IS,63.8424,-22.4338,31.95,74,0,6.91,clear sky
128,Clyde River,CA,70.4692,-68.5914,14.23,73,77,24.16,light snow
129,Mezen,RU,65.8522,44.24,7.84,97,100,5.93,overcast clouds
130,Bloomingdale,US,27.8936,-82.2404,60.85,90,1,0.0,clear sky
131,Saint George,US,37.1041,-113.5841,51.35,56,1,1.99,clear sky
132,Ocos,GT,14.5094,-92.1933,80.31,72,6,1.43,clear sky
133,Chokurdakh,RU,70.6333,147.9167,-21.37,98,100,5.68,overcast clouds
134,Lake Havasu City,US,34.4839,-114.3224,60.1,32,1,1.01,clear sky
135,Isetskoye,RU,56.4858,65.3226,0.43,94,6,8.19,clear sky
136,Te Anau,NZ,-45.4167,167.7167,61.0,46,64,7.09,broken clouds
137,Agadir,MA,30.4202,-9.5982,55.85,66,3,3.91,clear sky
138,Acopiara,BR,-6.0953,-39.4525,79.83,63,100,8.55,overcast clouds
139,Leningradskiy,RU,69.3833,178.4167,-16.91,98,100,8.46,overcast clouds
140,Marfino,RU,55.7028,37.3822,4.95,81,75,8.95,light snow
141,Guerrero Negro,MX,27.9769,-114.0611,62.76,75,100,9.17,overcast clouds
142,Santiago Del Estero,AR,-27.7951,-64.2615,72.81,56,20,9.86,few clouds
143,Rapid City,US,44.0805,-103.231,49.26,38,75,1.01,broken clouds
144,Huarmey,PE,-10.0681,-78.1522,69.24,84,84,5.5,broken clouds
145,Taltal,CL,-25.4,-70.4833,66.34,77,94,1.32,overcast clouds
146,Japura,ID,-0.3167,102.35,78.42,89,97,2.13,moderate rain
147,Faanui,PF,-16.4833,-151.75,82.09,71,100,10.04,light rain
148,Fairbanks,US,64.8378,-147.7164,1.24,81,20,6.91,few clouds
149,Satellite Beach,US,28.1761,-80.5901,59.02,85,1,1.01,clear sky
150,Lebu,CL,-37.6167,-73.65,56.39,94,26,13.13,scattered clouds
151,Sobolevo,RU,54.4299,31.8996,7.07,97,93,7.07,overcast clouds
152,Provideniya,RU,64.3833,-173.3,5.36,85,90,26.84,light snow
153,Pacific Grove,US,36.6177,-121.9166,59.67,91,100,3.0,overcast clouds
154,Trelew,AR,-43.249,-65.3051,65.39,63,0,16.8,clear sky
155,Geraldton,AU,-28.7667,114.6,86.41,42,6,9.22,clear sky
156,Ous,RU,60.9058,61.5186,-9.96,96,78,4.05,broken clouds
157,Susangerd,IR,31.5608,48.1831,54.68,57,0,8.46,clear sky
158,Mercedes,AR,-34.6515,-59.4307,77.18,60,36,6.22,scattered clouds
159,Iquitos,PE,-3.7481,-73.2472,77.04,88,90,2.3,heavy intensity rain
160,Wad Madani,SD,14.4012,33.5199,69.3,20,92,14.45,overcast clouds
161,Columbus,US,39.9612,-82.9988,26.71,77,20,6.91,few clouds
162,Sistranda,NO,63.7256,8.834,32.9,71,90,7.52,overcast clouds
163,Lompoc,US,34.6391,-120.4579,58.12,91,90,0.0,light rain
164,Puerto Colombia,CO,10.9878,-74.9547,78.89,85,90,8.55,overcast clouds
165,Lavrentiya,RU,65.5833,-171.0,-2.42,96,100,12.93,light snow
166,Male,MV,4.1748,73.5089,82.35,78,20,10.36,haze
167,Raga,SS,8.4596,25.678,71.53,21,97,7.74,overcast clouds
168,Hithadhoo,MV,-0.6,73.0833,81.12,73,74,3.44,broken clouds
169,Gravdal,NO,68.1214,13.5031,32.07,82,92,25.93,light snow
170,Buchanan,LR,5.8808,-10.0467,78.19,83,29,1.54,scattered clouds
171,Port Hedland,AU,-20.3167,118.5667,91.45,66,0,14.97,clear sky
172,Kidal,ML,18.4411,1.4078,65.32,12,100,10.94,overcast clouds
173,Kodiak,US,57.79,-152.4072,47.71,66,90,9.22,overcast clouds
174,Betsiamites,CA,48.9413,-68.646,26.69,95,100,11.23,light snow
175,Cabo Rojo,PR,18.0866,-67.1457,77.22,85,58,7.52,broken clouds
176,Sidi Ali,DZ,36.0998,0.4206,54.39,85,57,3.38,broken clouds
177,Camrose,CA,53.0168,-112.8353,17.33,87,100,8.68,overcast clouds
178,Manbij,SY,36.5281,37.9549,38.17,52,98,9.55,overcast clouds
179,Olinda,BR,-8.0089,-34.8553,82.13,78,40,5.75,scattered clouds
180,Atbasar,KZ,51.8,68.3333,17.22,97,100,4.23,overcast clouds
181,Esperance,AU,-33.8667,121.9,76.84,57,44,12.46,scattered clouds
182,Saskylakh,RU,71.9167,114.0833,-31.68,100,31,3.69,scattered clouds
183,Birao,CF,10.2849,22.7882,70.38,18,35,9.91,scattered clouds
184,Yaan,NG,7.3833,8.5667,78.28,27,78,4.52,broken clouds
185,Mahebourg,MU,-20.4081,57.7,78.26,94,75,8.05,broken clouds
186,Meulaboh,ID,4.1363,96.1285,80.71,75,99,2.42,overcast clouds
187,Corinto,GR,37.9407,22.9573,49.89,80,100,5.01,overcast clouds
188,Salym,RU,60.0625,71.4789,23.38,92,100,11.61,overcast clouds
189,Khrebtovaya,RU,56.7032,104.2494,-26.63,94,6,2.53,clear sky
190,Cabo San Lucas,MX,22.8909,-109.9124,73.51,60,1,3.44,clear sky
191,Havelock,US,34.8791,-76.9013,46.92,87,1,0.0,clear sky
192,Mocuba,MZ,-16.8392,36.9856,72.93,90,95,3.24,overcast clouds
193,Luderitz,NA,-26.6481,15.1594,59.5,86,6,3.11,clear sky
194,Kuna,US,43.4918,-116.4201,43.2,79,1,3.0,clear sky
195,Hadejia,NG,12.4498,10.0444,63.01,22,68,9.98,broken clouds
196,Hilo,US,19.7297,-155.09,72.28,43,90,0.0,light rain
197,Port Hawkesbury,CA,45.6169,-61.3485,39.15,98,90,13.0,mist
198,Ler,SS,8.3018,30.1418,76.59,31,41,9.4,scattered clouds
199,Hamilton,US,39.1834,-84.5333,29.93,67,1,0.0,clear sky
200,Benguela,AO,-12.5763,13.4055,72.97,78,90,2.55,overcast clouds
201,Dikson,RU,73.5069,80.5464,1.65,82,100,18.7,overcast clouds
202,Lucapa,AO,-8.4192,20.7447,65.25,98,100,3.04,overcast clouds
203,Norman Wells,CA,65.282,-126.8329,-7.56,77,75,3.44,light snow
204,Krasnoselkup,RU,65.7,82.4667,7.36,87,100,25.61,overcast clouds
