City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Muli,MV,82.15,broken clouds,2.9167,73.5667,Medhufushi Island Resort
384,Trinidad,BO,73.44,light rain,-14.8333,-64.9,Hotel Piesta
386,Ha Tinh,VN,70.99,broken clouds,18.3333,105.9,Phú Quý
391,Santo Domingo,DO,73.08,few clouds,18.5001,-69.9886,Cabañas City Heart
393,Cap Malheureux,MU,79.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
395,Alugan,PH,81.46,overcast clouds,12.2188,125.4808,JM Lodge
398,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
401,Mae Ramat,TH,70.12,scattered clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
405,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
406,Luklukan,PH,80.85,overcast clouds,14.3254,122.7124,GT's
409,Itacarambi,BR,70.39,moderate rain,-15.1022,-44.0919,POUSADA CAMALEÃO
410,Caraballeda,VE,82.36,broken clouds,10.6112,-66.8522,Hotel 15 Letras
418,Clarence Town,AU,79.29,heavy intensity rain,-32.5833,151.7833,River Downs Cottage
421,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
423,Bolobo,CD,75.74,overcast clouds,-2.1667,16.2333,Hotel de Stephen
428,Pochutla,MX,77.85,few clouds,15.7432,-96.4661,Hotel Posada San Jose
431,La Orilla,MX,75.4,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
433,Bandarbeyla,SO,75.15,broken clouds,9.4942,50.8122,JABIR HOTEL
434,Flinders,AU,76.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
436,Vangaindrano,MG,74.44,scattered clouds,-23.35,47.6,Hotel Fanilo
438,Culebra,PR,78.01,scattered clouds,18.303,-65.301,Palmetto Guesthouse
440,Trat,TH,84.25,overcast clouds,12.5,102.5,สวนหนิง-อัศ
441,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
442,Puerto Rondon,CO,82.09,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
444,Puerto Leguizamo,CO,76.6,overcast clouds,-0.1934,-74.7819,la casona de juancho
454,Lorengau,PG,83.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
455,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
456,Salina Cruz,MX,75.94,clear sky,16.1667,-95.2,Amerik HOTEL
460,Port Macquarie,AU,80.56,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
461,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
463,Sumbe,AO,73.94,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
466,Sola,VU,82.72,few clouds,-13.8833,167.55,Leumerus Bungalows
471,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
479,Ugoofaaru,MV,81.05,overcast clouds,5.6667,73.0,Ungoofaaru Inn
486,Palmas,BR,73.27,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
489,Gigmoto,PH,81.43,overcast clouds,13.7796,124.39,Cj's Travellers Inn
